"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2026-06-14 19:44:00,,,666,,,,,
2026-06-14 19:44:30,249,147,,1,429,301,329,0
2026-06-14 19:45:00,246,147,,1,661,571,581,0.567
2026-06-14 19:45:30,246,147,,1,1298,1456,1515,1.23
2026-06-14 19:46:00,246,145,658,1,1269,952,1007,0.400
2026-06-14 19:46:30,246,147,,1,1325,1332,1378,0.433
2026-06-14 19:47:00,246,143,,1,1365,1080,1145,0.500
2026-06-14 19:47:30,246,144,,1,1378,1422,1479,0.467
2026-06-14 19:48:00,248,153,658,1,1340,1230,1302,0.700
2026-06-14 19:48:30,247,159,,1,1309,1273,1323,0.567
2026-06-14 19:49:00,246,154,,1,1313,1130,1184,0.467
2026-06-14 19:49:30,248,150,,1,1356,1193,1264,0.533
2026-06-14 19:50:00,246,143,658,1,1362,1328,1383,0.500
2026-06-14 19:50:30,246,154,,1,1365,1208,1281,0.633
2026-06-14 19:51:00,246,150,,1,1335,1365,1415,0.800
2026-06-14 19:51:30,246,141,,1,1321,1157,1228,0.400
2026-06-14 19:52:00,246,148,658,1,1324,1333,1373,0.400
2026-06-14 19:52:30,248,158,,1,1340,1167,1239,0.533
2026-06-14 19:53:00,246,161,,1,1351,1300,1347,0.367
2026-06-14 19:53:30,246,149,,1,1357,1260,1337,0.300
2026-06-14 19:54:00,246,133,657,1,1357,1283,1335,0.533
2026-06-14 19:54:30,246,134,,1,1354,1277,1345,0.733
2026-06-14 19:55:00,246,146,,1,1340,1315,1379,0.700
2026-06-14 19:55:30,246,150,,1,1321,1288,1357,0.233
2026-06-14 19:56:00,246,148,658,1,1318,1261,1313,0.667
2026-06-14 19:56:30,246,144,,1,1321,1250,1316,0.767
2026-06-14 19:57:00,246,152,,1,1333,1285,1343,0.467
2026-06-14 19:57:30,246,161,,1,1321,1261,1326,0.533
2026-06-14 19:58:00,246,156,661,1,1330,1252,1304,0.300
2026-06-14 19:58:30,246,153,,1,1341,1291,1357,0.367
2026-06-14 19:59:00,246,153,,1,1338,1212,1269,0.467
2026-06-14 19:59:30,246,145,,1,1338,1328,1388,0.400
2026-06-14 20:00:00,249,151,674,1,1369,1257,1324,0.900
2026-06-14 20:00:30,244,146,,1,448,756,794,0.400
2026-06-14 20:01:00,244,137,,1,450,316,332,0
2026-06-14 20:01:30,241,139,,1,444,294,324,0.233
2026-06-14 20:02:00,241,143,655,1,439,296,314,0.133
2026-06-14 20:02:30,241,139,,1,427,474,487,0.0667
2026-06-14 20:03:00,241,140,,1,445,331,345,0.300
2026-06-14 20:03:30,241,140,,1,462,388,406,0.0333
2026-06-14 20:04:00,241,144,658,1,457,290,307,0
2026-06-14 20:04:30,241,147,,1,459,332,358,0.0667
2026-06-14 20:05:00,241,136,,1,441,281,299,0.0333
2026-06-14 20:05:30,241,137,,1,442,310,338,0.167
2026-06-14 20:06:00,241,145,658,1,445,308,324,0.0333
2026-06-14 20:06:30,241,136,,1,445,293,322,0
2026-06-14 20:07:00,241,147,,1,442,290,308,0
2026-06-14 20:07:30,241,160,,1,402,298,327,0.133
2026-06-14 20:08:00,241,157,658,1,401,288,306,0.133
2026-06-14 20:08:30,241,156,,1,402,296,325,0.0667
2026-06-14 20:09:00,241,143,,1,402,281,299,0
2026-06-14 20:09:30,241,147,,1,402,289,318,0.0333
