"Time","总已用","总内存","总平均%"
2026-06-14 18:26:30,4 GiB,7 GiB,57.0%
2026-06-14 18:27:00,4 GiB,7 GiB,55.3%
2026-06-14 18:27:30,4 GiB,7 GiB,54.8%
2026-06-14 18:28:00,4 GiB,7 GiB,55.3%
2026-06-14 18:28:30,4 GiB,7 GiB,56.5%
2026-06-14 18:29:00,4 GiB,7 GiB,55.1%
2026-06-14 18:29:30,4 GiB,7 GiB,54.8%
2026-06-14 18:30:00,4 GiB,7 GiB,55.6%
2026-06-14 18:30:30,4 GiB,7 GiB,56.5%
2026-06-14 18:31:00,4 GiB,7 GiB,56.7%
2026-06-14 18:31:30,4 GiB,7 GiB,56.8%
2026-06-14 18:32:00,4 GiB,7 GiB,56.8%
2026-06-14 18:32:30,4 GiB,7 GiB,56.4%
2026-06-14 18:33:00,4 GiB,7 GiB,56.7%
2026-06-14 18:33:30,4 GiB,7 GiB,56.9%
2026-06-14 18:34:00,4 GiB,7 GiB,54.9%
2026-06-14 18:34:30,4 GiB,7 GiB,52.8%
2026-06-14 18:35:00,4 GiB,7 GiB,54.3%
2026-06-14 18:35:30,4 GiB,7 GiB,54.8%
2026-06-14 18:36:00,4 GiB,7 GiB,55.1%
2026-06-14 18:36:30,4 GiB,7 GiB,55.7%
2026-06-14 18:37:00,4 GiB,7 GiB,56.1%
2026-06-14 18:37:30,4 GiB,7 GiB,56.2%
2026-06-14 18:38:00,4 GiB,7 GiB,56.3%
2026-06-14 18:38:30,4 GiB,7 GiB,56.6%
2026-06-14 18:39:00,4 GiB,7 GiB,55.3%
2026-06-14 18:39:30,4 GiB,7 GiB,54.5%
2026-06-14 18:40:00,4 GiB,7 GiB,56.2%
2026-06-14 18:40:30,4 GiB,7 GiB,56.8%
2026-06-14 18:41:00,4 GiB,7 GiB,57.2%
2026-06-14 18:41:30,4 GiB,7 GiB,57.3%
2026-06-14 18:42:00,4 GiB,7 GiB,57.6%
2026-06-14 18:42:30,4 GiB,7 GiB,58.2%
2026-06-14 18:43:00,4 GiB,7 GiB,58.4%
2026-06-14 18:43:30,4 GiB,7 GiB,58.6%
2026-06-14 18:44:00,4 GiB,7 GiB,57.6%
2026-06-14 18:44:30,4 GiB,7 GiB,58.3%
2026-06-14 18:45:00,4 GiB,7 GiB,59.8%
2026-06-14 18:45:30,4 GiB,7 GiB,60.1%
2026-06-14 18:46:00,4 GiB,7 GiB,60.3%
2026-06-14 18:46:30,4 GiB,7 GiB,60.6%
2026-06-14 18:47:00,4 GiB,7 GiB,60.5%
2026-06-14 18:47:30,4 GiB,7 GiB,61.1%
2026-06-14 18:48:00,4 GiB,7 GiB,61.0%
2026-06-14 18:48:30,4 GiB,7 GiB,61.3%
2026-06-14 18:49:00,4 GiB,7 GiB,59.3%
2026-06-14 18:49:30,4 GiB,7 GiB,60.2%
2026-06-14 18:50:00,4 GiB,7 GiB,62.3%
2026-06-14 18:50:30,4 GiB,7 GiB,62.4%
2026-06-14 18:51:00,4 GiB,7 GiB,62.4%
2026-06-14 18:51:30,4 GiB,7 GiB,61.9%
