"Time","总使用率","系统使用率","用户使用率","磁盘IO使用率"
2026-06-14 18:26:30,45%,10%,30%,0%
2026-06-14 18:27:00,41%,11%,23%,0%
2026-06-14 18:27:30,43%,11%,23%,0%
2026-06-14 18:28:00,44%,12%,24%,0%
2026-06-14 18:28:30,38%,10%,20%,0%
2026-06-14 18:29:00,39%,10%,21%,0%
2026-06-14 18:29:30,37%,10%,20%,0%
2026-06-14 18:30:00,39%,10%,21%,0%
2026-06-14 18:30:30,38%,10%,20%,0%
2026-06-14 18:31:00,39%,11%,21%,0%
2026-06-14 18:31:30,36%,10%,19%,0%
2026-06-14 18:32:00,37%,10%,19%,0%
2026-06-14 18:32:30,35%,10%,18%,0%
2026-06-14 18:33:00,35%,9%,18%,0%
2026-06-14 18:33:30,38%,10%,21%,0%
2026-06-14 18:34:00,40%,11%,22%,0%
2026-06-14 18:34:30,36%,10%,18%,0%
2026-06-14 18:35:00,37%,10%,20%,0%
2026-06-14 18:35:30,34%,10%,17%,0%
2026-06-14 18:36:00,34%,9%,18%,0%
2026-06-14 18:36:30,36%,9%,19%,0%
2026-06-14 18:37:00,35%,9%,18%,0%
2026-06-14 18:37:30,35%,9%,18%,0%
2026-06-14 18:38:00,35%,10%,18%,0%
2026-06-14 18:38:30,34%,9%,17%,0%
2026-06-14 18:39:00,38%,10%,21%,0%
2026-06-14 18:39:30,34%,9%,18%,0%
2026-06-14 18:40:00,37%,10%,19%,0%
2026-06-14 18:40:30,35%,9%,18%,0%
2026-06-14 18:41:00,33%,9%,17%,0%
2026-06-14 18:41:30,34%,9%,17%,0%
2026-06-14 18:42:00,34%,10%,18%,0%
2026-06-14 18:42:30,35%,10%,19%,0%
2026-06-14 18:43:00,34%,10%,17%,0%
2026-06-14 18:43:30,33%,10%,16%,0%
2026-06-14 18:44:00,34%,9%,17%,0%
2026-06-14 18:44:30,38%,10%,20%,0%
2026-06-14 18:45:00,33%,9%,18%,0%
2026-06-14 18:45:30,32%,8%,17%,0%
2026-06-14 18:46:00,32%,8%,17%,0%
2026-06-14 18:46:30,33%,9%,17%,0%
2026-06-14 18:47:00,34%,9%,18%,0%
2026-06-14 18:47:30,34%,9%,17%,0%
2026-06-14 18:48:00,32%,9%,16%,0%
2026-06-14 18:48:30,33%,9%,17%,0%
2026-06-14 18:49:00,34%,9%,18%,0%
2026-06-14 18:49:30,36%,10%,18%,0%
2026-06-14 18:50:00,39%,10%,22%,0%
2026-06-14 18:50:30,34%,9%,17%,0%
2026-06-14 18:51:00,32%,9%,16%,0%
2026-06-14 18:51:30,26%,6%,13%,0%
