"Time","5m负载","核数","平均%"
2026-06-14 18:26:30,1.72,4,45.1%
2026-06-14 18:27:00,1.72,4,41.0%
2026-06-14 18:27:30,1.90,4,43.0%
2026-06-14 18:28:00,2.27,4,43.6%
2026-06-14 18:28:30,2.24,4,38.1%
2026-06-14 18:29:00,2.14,4,38.6%
2026-06-14 18:29:30,2.32,4,37.4%
2026-06-14 18:30:00,2.17,4,39.0%
2026-06-14 18:30:30,2.23,4,38.4%
2026-06-14 18:31:00,2.10,4,39.0%
2026-06-14 18:31:30,2.25,4,35.5%
2026-06-14 18:32:00,2.54,4,36.5%
2026-06-14 18:32:30,2.37,4,35.0%
2026-06-14 18:33:00,2.33,4,35.1%
2026-06-14 18:33:30,2.33,4,38.3%
2026-06-14 18:34:00,2.45,4,40.4%
2026-06-14 18:34:30,2.22,4,36.0%
2026-06-14 18:35:00,2,4,37.4%
2026-06-14 18:35:30,1.87,4,34.0%
2026-06-14 18:36:00,1.82,4,34.3%
2026-06-14 18:36:30,1.66,4,35.7%
2026-06-14 18:37:00,1.58,4,34.5%
2026-06-14 18:37:30,1.64,4,34.7%
2026-06-14 18:38:00,1.64,4,35.0%
2026-06-14 18:38:30,1.50,4,33.9%
2026-06-14 18:39:00,1.73,4,37.7%
2026-06-14 18:39:30,1.81,4,34.5%
2026-06-14 18:40:00,1.73,4,36.7%
2026-06-14 18:40:30,1.73,4,35.0%
2026-06-14 18:41:00,1.69,4,32.9%
2026-06-14 18:41:30,1.58,4,33.9%
2026-06-14 18:42:00,1.70,4,34.0%
2026-06-14 18:42:30,1.94,4,35.5%
2026-06-14 18:43:00,1.80,4,34.5%
2026-06-14 18:43:30,1.77,4,33.2%
2026-06-14 18:44:00,1.83,4,33.6%
2026-06-14 18:44:30,2.43,4,38.1%
2026-06-14 18:45:00,2.63,4,33.5%
2026-06-14 18:45:30,2.39,4,32.4%
2026-06-14 18:46:00,2.29,4,32.4%
2026-06-14 18:46:30,2.30,4,33.4%
2026-06-14 18:47:00,2.11,4,33.9%
2026-06-14 18:47:30,1.98,4,33.8%
2026-06-14 18:48:00,2,4,32.2%
2026-06-14 18:48:30,2,4,32.8%
2026-06-14 18:49:00,1.89,4,33.7%
2026-06-14 18:49:30,1.89,4,35.9%
2026-06-14 18:50:00,1.98,4,39.2%
2026-06-14 18:50:30,2.19,4,33.5%
2026-06-14 18:51:00,2.28,4,31.6%
2026-06-14 18:51:30,2.14,4,25.7%
