"Time","paymentservice-7996994586-hnvbt"
2026-06-14 12:15:00,0.000925
2026-06-14 12:15:30,0.00140
2026-06-14 12:16:00,0.00402
2026-06-14 12:16:30,0.00437
2026-06-14 12:17:00,0.000809
2026-06-14 12:17:30,0.000722
2026-06-14 12:18:00,0.000696
2026-06-14 12:18:30,0.000527
2026-06-14 12:19:00,0.000623
2026-06-14 12:19:30,0.000783
2026-06-14 12:20:00,0.000771
2026-06-14 12:20:30,0.000794
2026-06-14 12:21:00,0.000684
2026-06-14 12:21:30,0.000699
2026-06-14 12:22:00,0.000608
2026-06-14 12:22:30,0.000894
2026-06-14 12:23:00,0.000707
2026-06-14 12:23:30,0.000814
2026-06-14 12:24:00,0.000917
2026-06-14 12:24:30,0.000916
2026-06-14 12:25:00,0.000801
2026-06-14 12:25:30,0.000797
2026-06-14 12:26:00,0.000913
2026-06-14 12:26:30,0.000686
2026-06-14 12:27:00,0.000675
2026-06-14 12:27:30,0.000581
2026-06-14 12:28:00,0.000458
2026-06-14 12:28:30,0.000769
2026-06-14 12:29:00,0.000750
2026-06-14 12:29:30,0.000599
2026-06-14 12:30:00,0.000953
2026-06-14 12:30:30,0.000666
2026-06-14 12:31:00,0.000630
2026-06-14 12:31:30,0.000576
2026-06-14 12:32:00,0.000576
2026-06-14 12:32:30,0.000647
2026-06-14 12:33:00,0.000703
2026-06-14 12:33:30,0.000586
2026-06-14 12:34:00,0.000495
2026-06-14 12:34:30,0.000825
2026-06-14 12:35:00,0.000648
2026-06-14 12:35:30,0.000491
2026-06-14 12:36:00,0.000917
2026-06-14 12:36:30,0.000682
2026-06-14 12:37:00,0.000918
2026-06-14 12:37:30,0.000863
2026-06-14 12:38:00,0.000715
2026-06-14 12:38:30,0.000661
2026-06-14 12:39:00,0.000696
2026-06-14 12:39:30,0.000480
2026-06-14 12:40:00,0.000692
2026-06-14 12:40:30,0.000419
2026-06-14 12:41:00,0.000756
2026-06-14 12:41:30,0.000758
2026-06-14 12:42:00,0.000672
2026-06-14 12:42:30,0.000595
2026-06-14 12:43:00,0.000608
2026-06-14 12:43:30,0.000528
2026-06-14 12:44:00,0.000710
2026-06-14 12:44:30,0.000610
2026-06-14 12:45:00,0.000545
2026-06-14 12:45:30,0.000599
2026-06-14 12:46:00,0.000747
2026-06-14 12:46:30,0.000748
2026-06-14 12:47:00,0.000645
2026-06-14 12:47:30,0.000629
2026-06-14 12:48:00,0.000557
2026-06-14 12:48:30,0.000636
2026-06-14 12:49:00,0.000604
2026-06-14 12:49:30,0.000627
2026-06-14 12:50:00,0.000681
2026-06-14 12:50:30,0.000610
2026-06-14 12:51:00,0.000643
2026-06-14 12:51:30,0.000673
2026-06-14 12:52:00,0.000769
2026-06-14 12:52:30,0.000541
2026-06-14 12:53:00,0.000678
2026-06-14 12:53:30,0.000713
2026-06-14 12:54:00,0.000799
2026-06-14 12:54:30,0.000592
2026-06-14 12:55:00,0.000559
2026-06-14 12:55:30,0.000702
2026-06-14 12:56:00,0.000561
2026-06-14 12:56:30,0.000581
2026-06-14 12:57:00,0.000532
2026-06-14 12:57:30,0.000569
2026-06-14 12:58:00,0.000585
2026-06-14 12:58:30,0.000608
2026-06-14 12:59:00,0.000630
2026-06-14 12:59:30,0.000672
2026-06-14 13:00:00,0.000503
2026-06-14 13:00:30,0.000977
2026-06-14 13:01:00,0.000814
2026-06-14 13:01:30,0.000770
2026-06-14 13:02:00,0.000575
2026-06-14 13:02:30,0.000589
2026-06-14 13:03:00,0.000867
2026-06-14 13:03:30,0.000940
2026-06-14 13:04:00,0.00107
2026-06-14 13:04:30,0.000932
2026-06-14 13:05:00,0.00115
2026-06-14 13:05:30,0.00113
2026-06-14 13:06:00,0.00107
2026-06-14 13:06:30,0.00147
2026-06-14 13:07:00,0.00108
2026-06-14 13:07:30,0.00106
2026-06-14 13:08:00,0.00139
2026-06-14 13:08:30,0.00111
2026-06-14 13:09:00,0.00107
2026-06-14 13:09:30,0.000856
2026-06-14 13:10:00,0.00109
2026-06-14 13:10:30,0.00165
2026-06-14 13:11:00,0.000960
2026-06-14 13:11:30,0.00116
2026-06-14 13:12:00,0.000922
